"id","week","reply","tweet"
"rlWpN","Week 3","PADP0","Getting ready to go watch Night at the Museum 2.  Dum dum, you give me gum gum!"
"gXTTp","Week 6",NA,"I think I may have a new favorite restaurant. On our way to see ""Night at the Museum 2""."
"5XnVy","Week 1",NA,"UP! was sold out, so i'm seeing Night At The Museum 2. I'm __ years old."
"oaxTQ","Week 4","Y01Vp","***: Nationalization of GM to be short-term   (AP) http://tinyurl.com/md347r"
"1r2qs","Week 1",NA,"Time Warner CEO hints at online fees for magazines      (AP) - Read from Mountain View,United States. Views 16209 http://bit.ly/UdFCH"
"PADP0","Week 1","D1feR","Lawson to head Newedge Hong Kong http://bit.ly/xLQSD #business #china"
"1r2qs","Week 4",NA,"Weird Piano Guitar House in China! http://u2s.me/72i8"
"EDFnD","Week 2",NA,"Send us your GM/Chevy photos http://tinyurl.com/luzkpq"
"yLUSs","Week 1",NA,"@stevemoakler i had a dentist appt this morning and had the same conversation!"
"3JLvN","Week 4",NA,"Check this video out -- David After Dentist http://bit.ly/47aW2"
"hm3b7","Week 1",NA,"First dentist appointment [in years] on Wednesday possibly."
"EDFnD","Week 2",NA,"Tom Shanahan's latest column on SDSU and its NCAA Baseball Regional appearance: http://ow.ly/axhu"
"GNnWT","Week 2",NA,"BaseballAmerica.com: Blog: Baseball America Prospects Blog ? Blog ... http://bit.ly/EtT8a"
"v72w9","Week 6",NA,"Portland city politics may undo baseball park http://tinyurl.com/lpjquj"
"KOxaL","Week 1",NA,"RT @WaterSISWEB: CA Merced's water bottled by Safeway, resold at a profit: Wells are drying up across the county http://tinyurl.com/mb573s"
"07afq","Week 3",NA,"dropped her broccoli walking home from safeway! ;( so depressed"
"1x52f","Week 2",NA,"@ronjon we don't have Safeway."
"xQLFc","Week 6",NA,"at safeway with dad"
"1r2qs","Week 3",NA,"Safeway with Marvin, Janelle, and Auntie Lhu"
"rlWpN","Week 1",NA,"Safeway offering mobile coupons http://bit.ly/ONH7w"
"hm3b7","Week 3",NA,"Phillies Driving in the Cadillac with the Top Down in Cali, Win 5-3 - http://tinyurl.com/nzcjqa"
"GNnWT","Week 4","O6lGC","Saved money by opting for grocery store trip and stocking food in hotel room fridge vs. eating out every night while out of town."
"v72w9","Week 2",NA,"Lounging around, eating Taco Bell and watching NCIS before work tonight. Need help staying awake."
"IB4pa","Week 5",NA,"eating breakfast and then school"
"EDFnD","Week 1",NA,"still hungry after eating...."
"v72w9","Week 2",NA,"10 tips for healthy eating ? ResultsBy Fitness Blog :: Fitness ... http://bit.ly/62gFn"
"fkUaH","Week 2",NA,"with the boyfriend, eating a quesadilla"
"D1feR","Week 2",NA,"Eating dinner. Meat, chips, and risotto."
"gXTTp","Week 1",NA,"got a new pair of nike shoes. pics up later"
"5XnVy","Week 6",NA,"Nike SB Blazer High ""ACG"" Custom - Brad Douglas - http://timesurl.at/45a448"
"v72w9","Week 2",NA,"Nike Air Yeezy Khaki/Pink Colorway Release - http://shar.es/bjfN"
"EDFnD","Week 5","CJpca","@erickoston That looks an awful lot like one of Nike's private jets....I'm just sayin...."
"j7Bci","Week 4",NA,"DevSnippets : jQuery Tools - Javascript UI Components for the Web... http://inblogs.org/go/hfuqt"
"s4lda","Week 4",NA,"all about Ajax,jquery ,css ,JavaScript and more... (many examples) http://ajaxian.com/"
"hm3b7","Week 1",NA,"This is cold.. I was looking at google's chart//visualization API and found this jQuery ""wrapper"" for the API...  http://tinyurl.com/mq52bq"
"s4lda","Week 4",NA,"I spent most of my day reading a jQuery book. Now to start drinking some delirium tremens."
"3JLvN","Week 1",NA,"jquery Selectors http://codylindley.com/jqueryselectors/"
"rlWpN","Week 1",NA,"How to implement a news ticker with jQuery and ten lines of code http://bit.ly/CZnFJ"
"j7Bci","Week 1",NA,"What's Buffet Doing? Warren Buffett Kicks Butt In Battle of the Boots: Posted By:Alex Crippe.. http://bit.ly/AUIzO"
"tVYJM","Week 5",NA,"I'm truly braindead.  I couldn't come up with Warren Buffet's name to save my soul"
"KOxaL","Week 3",NA,"@freitasm oh I see. I thought AT&amp;T were 900MHz WCDMA?"
"IB4pa","Week 1",NA,"@Plip Where did you read about tethering support Phil?  Just AT&amp;T or will O2 be joining in?"
"oaxTQ","Week 2",NA,"I hope the girl at work  buys my Kindle2"
"D1feR","Week 4",NA,"Missed this insight-filled May column: One smart guy looking closely at why he's impressed with Kindle2 http://bit.ly/i0peY @wroush"
"tVYJM","Week 1","EDFnD","@ruby_gem My primary debit card is Visa Electron."
"u3xQt","Week 2","07afq","Off to the bank to get my new visa platinum card"
"v72w9","Week 1",NA,"has a date with bobby flay and gut fieri from food network"
"v72w9","Week 4",NA,"How to Track Iran with Social Media: http://bit.ly/2BoqU"
"i53qc","Week 5",NA,"Twitter Stock buzz: $AAPL $ES_F $SPY $SPX $PALM  (updated: 12:00 PM)"
"yLUSs","Week 3","CJpca","@johncmayer is Bobby Flay joining you?"
"07afq","Week 2","O6lGC","Ask Programming: LaTeX or InDesign?: submitted by calcio1 [link] [1 comment] http://tinyurl.com/myfmf7"
"hm3b7","Week 4",NA,"*** this economy. I hate aig and their non loan given asses."
"yLUSs","Week 2",NA,"@Karoli I firmly believe that ***/*** have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism"
"i53qc","Week 6",NA,"dear nike, stop with the flywire. that *** is a waste of science. and ugly. love, @vincentx24x"
"v72w9","Week 5",NA,"I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James."
"xQLFc","Week 3","CJpca","@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end."
"tVYJM","Week 1","IB4pa","Played with an android google phone. The slide out screen scares me I would break that ***er so fast. Still prefer my iPhone."
"oaxTQ","Week 2","tVYJM","US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders"
"HcpuS","Week 5",NA,"omg so bored &amp; my tattoooos are so itchy!!  help! aha =)"
"u3xQt","Week 4",NA,"I'm itchy and miserable!"
"KOxaL","Week 5",NA,"@sekseemess no. I'm not itchy for now. Maybe later, lol."
"u3xQt","Week 5",NA,"cant sleep... my tooth is aching."
"yLUSs","Week 5",NA,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess."
"yLUSs","Week 3",NA,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf"
"gXTTp","Week 4","Y01Vp","?*** Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg"
"HcpuS","Week 6",NA,"started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?"
"rlWpN","Week 5",NA,"ShaunWoo hate'n on AiG"
"KOxaL","Week 1",NA,"annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that."
"KOxaL","Week 1",NA,"omg. The commercials alone on ESPN are going to drive me nuts."
"s4lda","Week 1",NA,"@morind45 Because the twitter api is slow and most client's aren't good."
"GNnWT","Week 5","5XnVy","yahoo answers can be a butt sometimes"
"tVYJM","Week 3",NA,"RT @SmartChickPDX: Was just told that Nike layoffs started today :-("
"j7Bci","Week 2","IB4pa","needs someone to explain lambda calculus to him! :("
"EDFnD","Week 4","CJpca","Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus."
"i53qc","Week 6",NA,"@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer."
"hm3b7","Week 5",NA,"Damn you North Korea. http://bit.ly/KtMeQ"
"HcpuS","Week 3",NA,"Can we just go ahead and blow North Korea off the map already?"
"EDFnD","Week 2",NA,"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl"
"HcpuS","Week 2",NA,"Why the hell is *** in freakin China? and on whose dime?"
"xQLFc","Week 2",NA,"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a handout!"
"tVYJM","Week 1","v72w9","insects have infected my spinach plant :("
"PADP0","Week 4",NA,"wish i could catch every mosquito in the world n burn em slowly.they been bitin the *** outta me 2day.mosquitos are the assholes of insects"
"HcpuS","Week 1",NA,"just got back from church, and I totally hate insects."
"rlWpN","Week 4",NA,"Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it"
"KOxaL","Week 3",NA,"History exam studying ugh"
"1r2qs","Week 1",NA,"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good..."
"rlWpN","Week 5","tVYJM","Higher physics exam tommorow, not lookin forward to it much :("
"tVYJM","Week 4",NA,"It's a bank holiday, yet I'm only out of work now. Exam season sucks:("
"gXTTp","Week 3","fkUaH","Cheney and Bush are the real culprits - http://fwix.com/article/939496"
"fkUaH","Week 2",NA,"Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ"
"HcpuS","Week 2","oaxTQ","Dick Cheney's dishonest speech about torture, terror, and ***. -Fred Kaplan Slate. http://is.gd/DiHg"
"yLUSs","Week 3","oaxTQ","""The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump."" -- Neal Boortz (just now, on the radio)"
"fkUaH","Week 1","rlWpN","is Twitter's connections API broken? Some tweets didn't make it to Twitter..."
"xQLFc","Week 1",NA,"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :("
"tVYJM","Week 1",NA,"VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!"
"KOxaL","Week 4","rlWpN","Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL"
"rlWpN","Week 5",NA,"It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable"
"hm3b7","Week 1",NA,"Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed."
"yLUSs","Week 1","07afq","@jdreiss oh yes but if GM dies it will only be worth more boo hahaha"
"tVYJM","Week 5",NA,"Time Warner cable is down again 3rd time since Memorial Day bummer!"
"EDFnD","Week 2",NA,"I would rather pay reasonable yearly taxes for ""free"" fast internet, than get gouged by Time Warner for a slow connection."
"IB4pa","Week 4",NA,"NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner"
"CJpca","Week 4",NA,"F*ck Time Warner Cable!!! You f*cking suck balls!!! I have a $700 HD tv &amp; my damn HD channels hardly ever come in. Bull***!!"
"25G3c","Week 5","i53qc","time warner has the worse customer service ever. I will never use them again"
"xQLFc","Week 6","fkUaH","Time warner is the devil. Worst possible time for the Internet to go out."
"KOxaL","Week 1",NA,"*** no internet damn time warner!"
"i53qc","Week 1","gXTTp","time warner really picks the worst time to not work. all i want to do is get to mtv.com so i can watch the hills. wtfffff."
"yLUSs","Week 2","CJpca","I hate Time Warner! Soooo wish I had Vios. Cant watch the fricken Mets game w/o buffering. I feel like im watching free internet porn."
"yLUSs","Week 4",NA,"Ahh...got rid of stupid time warner today &amp; now taking a nap while the roomies cook for me. Pretty good end for a monday :)"
"1r2qs","Week 1","O6lGC","Time Warner's HD line up is crap."
"1x52f","Week 2",NA,"is being ***ed by time warner cable. didnt know modems could explode. and Susan Boyle sucks too!"
"1x52f","Week 4",NA,"Time Warner Cable slogan: Where calling it a day at 2pm Happens."
"1x52f","Week 3",NA,"Recovering from surgery..wishing @julesrenner was here :("
"oaxTQ","Week 6",NA,"THE DENTIST LIED! "" U WON'T FEEL ANY DISCOMORT! PROB WON'T EVEN NEED PAIN PILLS"" MAN U TWIPPIN THIS SHIT HURT!! HOW MANY PILLS CAN I TAKE!!"
"s4lda","Week 4",NA,"@kirstiealley my dentist is great but she's expensive...=("
"oaxTQ","Week 5",NA,"my dentist was wrong... WRONG"
"oaxTQ","Week 4",NA,"Going to the dentist later.:|"
"GNnWT","Week 4",NA,"Son has me looking at cars online.  I hate car shopping.  Would rather go to the dentist!  Anyone with a good car at a good price to sell?"
"PADP0","Week 2",NA,"luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts. how jacked up is that?"
"IB4pa","Week 1","CJpca","The safeway bathroom still smells like ass!"
"HcpuS","Week 3",NA,"At safeway on elkhorn, they move like they're dead!"
"fkUaH","Week 3",NA,"Found NOTHING at Nike Factory :/ Off to Banana Republic Outlet! http://myloc.me/2zic"
"KOxaL","Week 2",NA,"Time Warner Road Runner customer support here absolutely blows. I hate not having other high-speed net options. I'm ready to go nuclear."
"hm3b7","Week 3",NA,"Time Warner cable phone reps r dumber than nails!!!!! UGH! Cable was working 10 mins ago now its not WTF!"
"IB4pa","Week 4","i53qc","@siratomofbones we tried but Time Warner wasn't being nice so we recorded today. :)"
"rlWpN","Week 5",NA,"OMG - time warner f'ed up my internet install - instead of today  its now NEXT saturday - another week w/o internet! &amp;$*ehfa^V9fhg[*# fml."
"IB4pa","Week 1","KOxaL","wth..i have never seen a line this loooong at time warner before, ugh."
"oaxTQ","Week 5",NA,"Impatiently awaiting the arrival of the time warner guy. It's way too pretty to be inside all afternoon"
"fkUaH","Week 2",NA,"Naive Bayes using EM for Text Classification. Really Frustrating..."
"oaxTQ","Week 6","PADP0","@KarrisFoxy If you're being harassed by calls about your car warranty, changing your number won't fix that. They call every number. #d-bags"
"CJpca","Week 3",NA,"Just blocked United Blood Services using Google Voice. They call more than those Car Warranty guys."
"tVYJM","Week 4",NA,"#at&amp;t is complete fail."
"fkUaH","Week 1",NA,"@broskiii OH SNAP YOU WORK AT AT&amp;T DON'T YOU"
"GNnWT","Week 3",NA,"@Mbjthegreat i really dont want AT&amp;T phone service..they suck when it comes to having a signal"
"oaxTQ","Week 1","s4lda","I say we just cut out the small talk: AT&amp;T's new slogan: F__k you, give us your money. (Apologies to Bob Geldof.)"
"tVYJM","Week 1",NA,"pissed about at&amp;t's mid-contract upgrade price for the iPhone (it's $200 more) I'm not going to pay $499 for something I thought was $299"
"fkUaH","Week 3",NA,"Safari 4 is fast :) Even on my ***ty AT&amp;T tethering."
"tVYJM","Week 2",NA,"@ims What is AT&amp;T ***ing up?"
"1x52f","Week 4",NA,"@springsingfiend @dvyers @sethdaggett @jlshack AT&amp;T dropped the ball and isn't supporting crap with the new iPhone 3.0... FAIL #att SUCKS!!!"
"yLUSs","Week 3",NA,"@MMBarnhill yay, glad you got the phone! Still, damn you, AT&amp;T."
"PADP0","Week 1",NA,"Talk is Cheap: Bing that, I?ll stick with Google. http://bit.ly/XC3C8"
"oaxTQ","Week 2",NA,"@defsounds WTF is the point of deleting tweets if they can still be found in summize and searches? Twitter, please fix that. Thanks and bye"
"yLUSs","Week 1",NA,"The real AIG scandal / http://bit.ly/b82Px"
"1r2qs","Week 4",NA,"LEbron james got in a car accident i guess..just heard it on evening news...wow i cant believe it..will he be ok ? http://twtad.com/69750"
"xQLFc","Week 2",NA,"Kobe is the best in the world not lebron ."
"gXTTp","Week 6",NA,"I have to go to Booz Allen Hamilton for a 2hr meeting :(  But then i get to go home :)"
"GDdMt","Week 1","GNnWT","@ambcharlesfield lol. Ah my skin is itchy :( damn lawnmowing."
"KOxaL","Week 5",NA,"itchy back!! dont ya hate it!"
"i53qc","Week 5",NA,"so tired. i didn't sleep well at all last night."
"D1feR","Week 1",NA,"Boarding plane for San Francisco in 1 hour; 6 hr flight. Blech."
"25G3c","Week 5",NA,"bonjour San Francisco. My back hurts from last night.."
"v72w9","Week 6",NA,"F*** up big, or go home - AIG"
"1x52f","Week 2",NA,"Malcolm Gladwell is a genius at tricking people into not realizing he's a ***ing idiot"
"yLUSs","Week 1",NA,"@sportsguy33 hey no offense but malcolm gladwell is a pretenious, annoying cunt and he brings you down. cant read his ***"
"tVYJM","Week 4",NA,"i hate comcast right now. everything is down cable internet &amp; phone....ughh what am i to do"
"1x52f","Week 2","25G3c","Comcast sucks."
"v72w9","Week 6",NA,"The day I never have to deal with Comcast again will rank as one of the best days of my life."
"HcpuS","Week 3",NA,"@Dommm did comcast fail again??"
"EDFnD","Week 1","gXTTp","curses the Twitter API limit"
"HcpuS","Week 5","1x52f","Now I can see why Dave Winer screams about lack of Twitter API, its limitations and access throttles!"
"1x52f","Week 6",NA,"Arg. Twitter API is making me crazy."
"yLUSs","Week 3",NA,"#wolfram Alpha SUCKS! Even for researchers the information provided is less than you can get from #google or #wikipedia, totally useless!"
"EDFnD","Week 4",NA,"@Fraggle312 oh those are awesome! i so wish they weren't owned by nike :("
"IB4pa","Week 3",NA,"arhh, It's weka bug. = ="" and I spent almost two hours to find that out. crappy me"
"GNnWT","Week 1",NA,"Oooooooh... North Korea is in troubleeeee! http://bit.ly/19epAH"
"fkUaH","Week 2",NA,"Wat the heck is North Korea doing!!??!! They just conducted powerful nuclear tests! Follow the link: http://www.msnbc.msn.com/id/30921379"
"EDFnD","Week 2",NA,"Listening to ***... Friggin North Korea..."
"yLUSs","Week 1","EDFnD","I just realized we three monkeys in the white ***.***,*** . Sarah Palin 2012"
"j7Bci","Week 4",NA,"@foxnews *** should stay in China and never come back."
"gXTTp","Week 3",NA,"Nancy *** gave the worst commencement speech I've ever heard. Yes I'm still bitter about this"
"fkUaH","Week 4",NA,"ugh. the amount of times these stupid insects have bitten me. Grr.."
"EDFnD","Week 1",NA,"Just got barraged by a horde of insects hungry for my kitchen light. So scary."
"i53qc","Week 5","s4lda","Math review. Im going to fail the exam."
"KOxaL","Week 3","u3xQt","Colin Powell rocked yesterday on CBS. Cheney needs to shut the hell up and go home.Powell is a man of Honor and served our country proudly"
"25G3c","Week 2",NA,"obviously not siding with Cheney here: http://bit.ly/19j2d"
"HcpuS","Week 4",NA,"saw night at the museum out of sheer desperation. who is funding these movies?"
"tVYJM","Week 5",NA,"Back from seeing 'Star Trek' and 'Night at the Museum.' 'Star Trek' was amazing, but 'Night at the Museum' was; eh."
"oaxTQ","Week 2",NA,"It is a shame about GM. What if they are forced to make only cars the White House THINKS will sell? What do you think?"
"gXTTp","Week 1",NA,"As u may have noticed, not too happy about the GM situation, nor AIG, Lehman, et al"
"25G3c","Week 2",NA,"@Pittstock $GM good riddance.  sad though."
"u3xQt","Week 1",NA,"I Will NEVER Buy a Government Motors Vehicle: Until just recently, I drove GM cars. Since 1988, when I bought a .. http://tinyurl.com/lulsw8"
"HcpuS","Week 1",NA,"Having the old Coca-Cola guy on the GM board is stupid has heck! #tcot #ala"
"IB4pa","Week 1",NA,"#RantsAndRaves The worst thing about GM (concord / pleasant hill / martinez): is the ***ing UAW. ..   http://buzzup.com/4ueb"
"HcpuS","Week 4","CJpca","Give a man a fish, u feed him for the day. Teach him to fish, u feed him for life. Buy him GM, and u F**K him over for good."
"hm3b7","Week 3",NA,"The more I hear about this GM thing the more angry I get. Billions wasted, more bull***. All for something like 40k employees and all the.."
"KOxaL","Week 3",NA,"@QuantTrader i own a GM car and it is junk as far as quality compared to a honda"
"HcpuS","Week 2",NA,"sad day...bankrupt GM"
"fkUaH","Week 6","PADP0","is upset about the whole GM thing. life as i know it is so screwed up"
"tVYJM","Week 4","1r2qs","whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out ***ty cable svcs"
"EDFnD","Week 2",NA,"#WFTB Joining a bit late. My connection was down (boo time warner)"
"HcpuS","Week 4",NA,"Cox or Time Warner?  Cox is cheaper and gets a B on dslreports.  TW is more expensive and gets a C."
"1x52f","Week 6","u3xQt","i am furious with time warner and their phone promotions!"
"GDdMt","Week 1",NA,"Just got home from chick-fil-a with the boys. Damn my internets down =( stupid time warner"
"i53qc","Week 3","tVYJM","could time-warner cable suck more?  NO."
"EDFnD","Week 2",NA,"Pissed at Time Warner for causin me to have slow internet problems"
"1x52f","Week 4",NA,"@sportsguy33 Ummm, having some Time Warner problems?"
"oaxTQ","Week 2",NA,"You guys see this?  Why does Time Warner have to suck so much ass?  Really wish I could get U-Verse at my apartment. http://bit.ly/s594j"
"EDFnD","Week 5",NA,"RT @sportsguy33 The upside to Time Warner: unhelpful phone operators   superslow on-site service. Crap, that's not an upside."
"25G3c","Week 2",NA,"RT @sportsguy33: New Time Warner slogan: ""Time Warner, where we make you long for the days before cable."""
"HcpuS","Week 3",NA,"confirmed: it's Time Warner's fault, not Facebook's, that fb is taking about 3 minutes to load. so tempted to switch to verizon =/"
"Y01Vp","Week 5","5XnVy","@sportsguy33 Time Warner = epic fail"
"KOxaL","Week 1",NA,"I know. How sad is that?  RT @caseymercier: 1st day of hurricane season. That's less scarey than govt taking over GM."
"GNnWT","Week 2",NA,"GM files Bankruptcy, not a good sign..."
"fkUaH","Week 2",NA,"I hate the effing dentist."
"PADP0","Week 2","5XnVy","@kirstiealley I hate going to the dentist.. !!!"
"i53qc","Week 4","Y01Vp","i hate the dentist....who invented them anyways?"
"1x52f","Week 1",NA,"this dentist's office is cold :/"
"i53qc","Week 2",NA,"@ Safeway. Place is a nightmare right now. Bumming."
"25G3c","Week 3",NA,"HATE safeway select green tea icecream! bought two cartons, what a waste of money.  &gt;_&lt;"
"Y01Vp","Week 1",NA,"argghhhh why won't  my jquery appear in safari bad safari !!!"
"HcpuS","Week 4",NA,"I can't watch TV without a Tivo.  And after all these years, the Time/Warner DVR  STILL sucks. http://www.davehitt.com/march03/twdvr.html"
"s4lda","Week 3",NA,"I still love my Kindle2 but reading The New York Times on it does not feel natural. I miss the Bloomingdale ads."
"rlWpN","Week 2",NA,"Although today's keynote rocked, for every great announcement, AT&amp;T *** on us just a little bit more."
"gXTTp","Week 5",NA,"@sheridanmarfil - its not so much my obsession with cell phones, but the iphone!  i'm a slave to at&amp;t forever because of it. :)"
"EDFnD","Week 1",NA,"Fuzzball is more fun than AT&amp;T ;P http://fuzz-ball.com/twitter"
"tVYJM","Week 3",NA,"Today is a good day to dislike AT&amp;T. Vote out of office indeed, @danielpunkass"
"fkUaH","Week 4","oaxTQ","looks like summize has gone down. too many tweets from WWDC perhaps?"
"25G3c","Week 2",NA,"Man I kinda dislike Apple right now. Case in point: the iPhone 3GS. Wish there was a video recorder app. Please?? http://bit.ly/DZm1T"
"3JLvN","Week 1",NA,"dearest @google, you rich bastards! the VISA card you sent me doesn't work. why screw a little guy like me?"
"KOxaL","Week 6",NA,"Fighting with LaTex. Again..."
"25G3c","Week 1",NA,"@Iheartseverus we love you too and don't want you to die!!!!!!  Latex = the devil"
"tVYJM","Week 4",NA,"7 hours. 7 hours of inkscape crashing, normally solid as a rock. 7 hours of LaTeX complaining at the slightest thing. I can't take any more."
"25G3c","Week 4",NA,"***'s hitting the fan in Iran...craziness indeed #iranelection"
"KOxaL","Week 2",NA,"Monday already. Iran may implode. Kitchen is a disaster. @annagoss seems happy. @sebulous had a nice weekend and @goldpanda is great. whoop."
"fkUaH","Week 3",NA,"I just created my first LaTeX file from scratch. That didn't work out very well. (See @amandabittner , it's a great time waster)"
"HcpuS","Week 4",NA,"On that note, I hate Word. I hate Pages. I hate LaTeX. There, I said it. I hate LaTeX. All you TEXN3RDS can come kill me now."
"CJpca","Week 5","PADP0","Trouble in Iran, I see. Hmm. Iran. Iran so far away. #flockofseagullsweregeopoliticallycorrect"
"yLUSs","Week 6",NA,"Reading the tweets coming out of Iran... The whole thing is terrifying and incredibly sad..."
"y3OIB","Week 4",NA,"in the car coming home from virgina  yay. wont be home till 4:30 though! soooooooo much traffic =/"
"Ccnpg","Week 3",NA,"@claireyjonesy haaaaaa! i love your ideas "
"M5dmg","Week 2",NA,"installing 'football manager'. long time no silly games played "
"oP3fu","Week 3",NA,"@NitevisionEnt Ahaha.. I take it you don't cook. "
"okrpy","Week 1",NA,"@emily_elliott 'the gender bet' sounds like a new reality tv game "
"Obd8K","Week 1",NA,"@justinu84 Specifically a silver one. "
"hgIkb","Week 3",NA,"I think I need a new cellphone.   oh well. haha."
"uZgx5","Week 3","3P9qG","@officialTila I fell asleep! For a few hours! Nice booty shot! =D Your hair tho, your seems different from yesterday. "
"zEUg8","Week 1",NA,"what a beautifaul day "
"YMTdr","Week 3",NA,"@SHADWELL1970 got 3rd yesterday...wooohaa, didn't expect that, but my fellow club member took the cup..so it was good for our club  "
"hhTDd","Week 3",NA,"whoa, 139 subscribers! This excites me greatly "
"RjjgC","Week 6","y1Qz7","good morning sunshines "
"Ccnpg","Week 6",NA,"Back at it...hope to get the upcoming move organized...and begin the packing process...all is well "
"cN1ar","Week 3",NA,"@foodiemcbody .4 is next to nothing!!  Patience, young one.  You'll get there!  "
"SYIdt","Week 4",NA,"watching zathura  then gonna do some math homework "
"uZgx5","Week 6",NA,"Finally! A pic up! It's an oldie but a goodie. "
"Qztmg","Week 3","LJnZv","@littleemilyjane being the most perfect child, i haven't  i've left about quarter, but mum had a go at me, because she wanted a half left"
"Qztmg","Week 1",NA,"@weetabix h�h� ok "
"3P9qG","Week 5",NA,"Watching December Boys "
"RjjgC","Week 4",NA,"I LOVE MY BOY FRIEND (MY FRIEND LIA'S BROTHER) KERRIN AND HE LOVES ME!!!!!!!!!!!  &lt;3"
"YeSmh","Week 2","hgIkb","Work was horrible! Looking forward to starting another day tomorrow "
"oP3fu","Week 4",NA,"@lydia_ffs  I lavvvvvv you, thought i would remind you "
"JghbQ","Week 5",NA,"@popkitchen hihihi, popcult duhovitost. me likey "
"cN1ar","Week 4","M5dmg","They're hiking at the nature reserve but i'm hiking to the shopping mall. Ha ha. "
"uZgx5","Week 2","Obd8K","@David_Kaufer You cant argue w/them, as they actually have zero things to complain about so they make stuff up "
"YMTdr","Week 1",NA,"Been up all night and on the way to Disneyland for the first time EVER! This should be interesting and fun. "
"JghbQ","Week 2",NA,"Love how you can hear a pen drop around the Laker haters "
"YMTdr","Week 4",NA,"B4 U pontificate self-educate http://bit.ly/5MVlq  #tcot  #jcot"
"LJnZv","Week 1",NA,"@jordanrocksawks that's only because I haven't tweeted in 9 months "
"ohDFC","Week 3",NA,"just slobbing about. doing nothing. planning on getting sims 3 tommorrow "
"y3OIB","Week 6","HQEwD","Good morning! (I didn't just wake up) Going out for breakfast soon. Love this chalet "
"mhN2G","Week 6",NA,"I'm so sleepy today; maybe it's the rain~  It's dark and cool, and rainy~  My day's wide open; no mtgs, rehearsals or deadlines "
"RjjgC","Week 2",NA,"works from 9:30-5:30 today. And has issues typing. "
"Obd8K","Week 1",NA,"Yu know it was a good night when yu wake up naked ahahahahahhahaha "
"y3OIB","Week 5",NA,"Trying my first Bonanza today  Lots of awesome artisan pottery etc. http://tinyurl.com/by46bb"
"SYIdt","Week 6",NA,"haha! i've juzt watched a ghost movie ) It's funny ) Now I feel good "
"uZgx5","Week 2",NA,"Life is getting better. I'm in love with life. The beauty of being able to SEE! "
"YeSmh","Week 2","ohDFC","this is gona seem really sad but when i get my baby in november i wanna name it like a combination ov JB's names "
"JghbQ","Week 4","mhN2G","@yasexy cus..God made the chicken that produced eggs &amp; eventually multiplied in more chickens.....  im guessing.....lol"
"ohDFC","Week 1",NA,"@lupilups ahhhhhhh damn i need the lyrics xD weee me voi a MEX el 18  vas???? xD"
"yJbRW","Week 3",NA,"In technology. So boring. We have our phones out for measuring "
"RjjgC","Week 1",NA,"i'm all internet out....going to pick up my netflix...gn "
"y1Qz7","Week 5",NA,"The season finale of Family Guy is too much!  God, I love Stewie! "
"LJnZv","Week 1",NA,"@RubenOlsen our new website http://www.radvision.com or the VC LCD http://bit.ly/lD3C4? "
"Ccnpg","Week 3","Obd8K","@mrassman yes he is.def my favo person in d world.Thank u for asking&amp;thank you for being such a sweetie. Really appreciate it "
"uZgx5","Week 1",NA,"@leftyswag i am so glad! Can't read dm on my phone (grr) so i will as soon as i can! "
"RjjgC","Week 2",NA,"@Gabbity oh, okay, thanks. "
"3P9qG","Week 4",NA,"@joeymcintyre We always knew u were hot... tonight u proved it "
